weibo_text,豆包评分,opposite_sex_social_avoidance,相似性
#为什么越来越难恋爱了#因为恐男+恐婚+社恐，我只想和女生贴贴,2,1,
每次听朋友讲在酒吧里见到的男人做的事我都要害怕死了恐男了不想认识新男人了,2,3.5,
#上外男生所投系牛磺酸泡腾片#好恶心啊?越来越恐男了（不正常的男的）,2,4,
#男子用菜刀砍伤妻子辩称管教不犯法#一天一个恐男恐婚小技巧,2,3,
世界上正常的男的不多我知道不正常的我真的一个也不想遇到了恐男了,2,2.5,
天天看微博上这些热搜都厌男了多报道点好男人吧要不觉得女生好惨,2,2,
一个普通的周末，在B站看了两个印象深刻的视频，一个是一个潮汕年轻导演拍的一个纪录片讲的是潮汕妈妈的日常，吃苦耐劳，无私付出，有着自己的一套认知和准则，越长大越会关注自己家乡，我慢慢开始品味出来，人呐，永远都甩不开离不了自己生长的土地，哪怕你抗拒，你仍旧是那个地方的人，是一个虔诚的捍卫者。我忽然想起了莱农最后还是回到了那不勒斯那个小小的镇。第二个视频是刚刚看完的13分钟的恐婚恐育恐男视频，期间我一度想要关掉，但我还是忍着不适认真的看完，妻子歇斯底里地诉说委屈而丈夫一脸麻木的冷漠，怀孕的时候买了一个衣服妻子说好不好看，丈夫说像堵墙，婆婆说产检孩子个头太小了，逼着吃不下肥肉的妻子吃掉转头在厕所狂吐，没有收入来源只能像乞求一样地伸手向丈夫要钱，还要遭受羞辱.....现实无法理想化，但它可以让旁观者的我们更多清醒的思考空间。再送给如果能看到我微博的大家一段我最近收藏的话，是来自一个都是女生的群，三八妇女节那天分享的一段话：姐妹们，人生是旷野，不是赛道，祝所有女性妇女节快乐。祝你们的脚步踏遍人类智识的所有角落，在结构性限制与压迫彻底消除之前，不要轻易相信天赋的倒果为因。祝你们在男性霸占的领域夺回自己应有的成就。祝你们无论在大众文化中，还是亲密关系里，不被物化、矮化、附庸化、宠物化，能够得到真正平等的爱与尊重。当然，如果你们不需要的话，也祝你们可以摆脱爱情的桎梏，得到更广阔的自由。祝你们的生存与事业不因性别受到显性或隐性的阻碍与伤害。祝你们成功，同时也祝你们无论是否达到世俗意义上的卓越，都能够拥有不被轻蔑、歧视与践踏的尊严，拥有任何女性都应该享有的权益，无需条件。,1,2,
#官方通报两岁女童排除性侵可能#不怪网友担心，许超医生发的孩子患处图片我看了，的确不忍直视…但是借此污蔑女孩爷爷父亲性侵的，借机鼓动厌男的，挑动对立的，麻烦也处置下！不能让他们到处兴风作浪了！L马上谈的微博视频,1,2,
B295【投稿】bot好，因为前两天那个玻珠逃离农村重男轻女的原生家庭和小狗一起流浪的投稿知道了bot，一条条翻下去然后一边看一边哭。高柱出生在jhsy的年代有个大两岁半的哥哥，豹豹猫猫生高柱是因为豹豹不戴套猫猫生完哥哥后面已经流产过一次怕流产疼所以生了高柱。高柱出生一个月就被丢在农村奶奶家与苍蝇为伴，六个月大的时候因为在院子里吃垃圾吃坏肚子高烧到42度好几天，居然没有烧成傻子。高柱的猫猫不喜欢高柱，哥哥是个基本盘男宝经常打高柱，家里只有豹豹对高柱好但是在高柱12岁的时候诿卸高柱。幸运的是高柱一直学习很好，从很好的大学毕业有了一份体面但不赚钱的工作，家人之间看起来也其乐融融但是只有高柱自己知道自己有多恨他们，高柱心里没有爱只有恨。高柱上学的时候互联网刚开始流行大家都没有手机，高柱一直在自己用书本和大自然构筑的世界里生长，到了大学才开始接触到人类社会，知道人和人的差距有那么大，原生家庭带来的眼界局限性基本决定了一个人的一生，高柱的同学都出国出省随便玩，很早就规划好了自己将来的方向，高柱不知道自己要干什么，豹豹猫猫给的生活费只够基本生活他们也不允许高柱有任何娱乐方面的花销，所以高柱只想着大学毕业就能去工作挣钱养活自己了。高柱现在活成了一只痛苦的猪，即使厌男决定不婚育，也依然每天被工作和生活中各种琐事弄得精疲力尽，高柱真的好想变得很有钱很有钱，琼人的生活充满了迁就和节俭，但是高柱的能力和性格注定不是那种赚大钱的人，所以高柱觉得活着真的很没意思。,2,1,
没开玩笑我除了身边男性好朋友我现在看到别的男的都恶心恐男了彻底恐男了,2,4,
男人发情就要操女人然后女人怀孕生下了悲剧痛苦男人真恶心又是厌男仇男的一天,2,3.5,
最近的新闻以及身边同学的经历让原本恐婚恐孕的我现在直接恐男了听我说谢谢你,2,3,
#买超与女子同回酒店#恐男情绪又达到了满级狗屁爱情,2,3,
wtm服了我都快把恐婚恐男刻脑门了是get不到我的点还是故意不想说非得老子明说咱俩没戏别再找我吗,2,2,
#女硕士遭追求者砍杀案二审将于15日开庭#每天一个恐男小新闻?,2,3,
我真的日常恐男了但这只会让我的生活更快乐So…,2,1,
这个微博每天刷的我恐男恐婚恐孕对象回家都想给他两脚,2,2,
男人们的恋爱超话男人事多起来比女人还事多，这已经不是崆峒了，这是上升到恐男啦,2,2.5,
#郸城警方通报男子持刀砍人事件#谢谢恐男一辈子,2,3,
我想谈恋爱我不想谈恋爱我想不想谈恋爱到底想不想谈恋爱救命！我恐男（骂骂咧咧）,2,1.5,
今年冬天能不能让我谈一个额啊啊我服了我有点恐男??♂?,2,1,
#为什么越来越难恋爱了#因为男的有病，因为恐男，因为恐婚恐育,2,3,
#恐婚的年轻人究竟在怕什么#恐男怕婚闹怕家暴怕妈宝怕软饭,2,3,
#恐婚的年轻人究竟在怕什么#这热搜说降就降，完全消失了你说怕什么？一个人过的好好的干嘛要结婚，我恐男,2,1.5,
最近真的太恐男了已经无法分辨到底是因为身边的事情恐男还是网上的事情恐男了,2,3,
救命啊啊啊啊啊啊啊为什么有的男的能这么恶心这么油腻这么猥琐啊啊啊啊啊我要恐男了???????????,2,3.5,
厌男只针对三四十的油腻男当然也不乏26岁后的油腻男?,2,2.5,
这不是女性成长片，这是恐婚恐男宣传片，全剧只有关涛一个好男人是吧,1,1,
#郸城警方通报男子持刀砍人事件#唐山那个没过去多长时间又出个这个…谢谢连夜爬上恐男山了,2,3,
可恶连做梦都是男人控制不住自己的情绪当街殴打女性被吓醒的那一刻真的恐男了,2,2.5,
男的怎么说出来让女人别恐男的话你猜一下女的为什么恐男呢,2,1,
不想恋爱不想结婚不想生娃对男人没信心只会伤害女人所有的风浪都是男人带来的恐男,2,2.5,
#女子在酒吧厕所被男子强行拖进隔间#无论是什么关系都不能当着那么多人的面撕人家女孩的衣服又是恐男的一天,2,3,
#李润祺祖师妹#额最近流行爆渣男是吧一天一个恐男婚婚小技巧,2,3,
我他妈都说了我现在恐男…男的能不能别说话了,2,2,
男的好可怕读了书的更可怕我真的恐男了是不是以后找单纯老公只能找农民了啊妈的,2,2,
#如何回复普信男#看到群里男生nt发言就恶心每日恐男小技巧get?,2,3.5,
这年头教学楼保安都在随意judge女生了吗没有歧视保安的意思但真是普通又自信呢今日份第1000次厌男,2,3,
#唐山再现打人事件#今天还是恐男的一天……,2,3,
#母女上楼被雨衣男子拖走#真的很恐怖啊，真的很恐男了，救命，还有没有王法了啊，女孩子就该这样被对待吗！！！！！所以现在回家也不安全了是吗，男人可不可以管好自己管好下半身啊！！！！,2,3,
看了今天晚上的两场电影（她经过风暴，学爸），主打的就是不敢结婚恐男不敢生娃负担不起责任,1,3,
#妻子遭调戏丈夫出面阻止被持刀追砍#妈的又是恐男的一天我还是一个人过吧,2,4,
#未婚夫想通过婚姻改变命运#别骗小姑娘了直接找个富婆多好打开微博，每天一个恐婚恐男小技巧,2,2.5,
zaitmd也不想和学弟说话了问就是每天get一个厌男小技巧我不是上帝么我怎么像孙子一样就因为我俩没“互相理解”？不想和他争论了然后就忍了但还是想吐槽忍的没度了,2,2.5,
#罗冠军#一早醒了就看到这事真的恶心日常恐男,2,3.5,
#警方回应女子被男子拖进厕所隔间#真的要恐男了?,2,3,
#严惩唐山烧烤店打人事件狂徒#店外的视频更恐怖，看完一阵寒意，恐男了,2,3,
#严惩唐山烧烤店打人事件狂徒#正因为越来越恐男，所以我写不下去现言了只有女孩子贴贴能让我安心,2,3,
每天一个恐男小技巧#我命油我不油天##如何评价王思聪和孙一宁的爱恨情仇#,2,2.5,
我发誓至少两个星期都学到晚上十一点以后了就今天！就今天想休息一下出来操场听会歌被球砸到脚踝辣么重辣么重！！！踢足球踢到跑道你还有理了每日一个恐男小技巧…,2,2.5,
#恐男日常#希望?们不要在和我说话别理我谢谢,2,3.5,
#白色月光#啊，准备看看……怎么说，现在已经恐男社交了，不说夫妻之间出轨了，就那些猥琐男，够让人恶心的，尤其是为老不尊贪财好色的伪君子，让我觉得能好好活着就已经很不容易了……,2,4,
真的很难过，他凭什么要经历这些事情。每天一些厌男小技巧。,2,2.5,
这个世界怎么了或者其实是一开始就是这样的不过我一直没发现罢了?厌男情绪达到顶点,2,3.5,
厌男这事儿就是天天烦天天厌天天都想骂everydayday,2,1.5,
#12岁男孩性侵同岁脑瘫亲戚#每天一个厌男小技巧。这劣根性是刻在骨子里的吧,2,3,
真恐婚恐男了，特别害怕以后结婚了被男的给杀了,2,4,
这辈子心理阴影又来了现在是我的有一个恐男巅峰期,2,3.5,
#网传女子被男子拖拽进厕所隔间#又是恐男的一天，真的害怕,2,3,
我真的有时候很厌男都是什么傻diao玩意，妈宝得要死，玻璃心得要死，还喜欢对女生荡妇羞辱，比不起女生就说别人靠不正经路线。这种diao，给他个这种路子道德丢得比谁都快。玻璃心得要死，真口区了！这种就是他妈当时求神拜佛生下来要继承皇位的?八玩意,2,3.5,
厌男情绪在这几天大爆发我有罪的话可以惩罚我…跟男的聊天都少活几年,2,4.5,
